"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.238540375E0,2.844446659E0,-1.864924049E1,-3.025957489E1
1.248479375E0,2.905109406E0,-1.866688919E1,-3.035359955E1
1.258418375E0,2.965907574E0,-1.862907791E1,-3.031280136E1
1.268357375E0,2.988713264E0,-1.870853806E1,-3.018700790E1
1.278296375E0,2.927622795E0,-1.885197067E1,-3.005634689E1
1.288235375E0,3.015957355E0,-1.892361069E1,-3.021912766E1
1.298174375E0,2.842154503E0,-1.882549477E1,-2.997787476E1
1.308113375E0,2.842154503E0,-1.882549477E1,-2.997787476E1
1.318052375E0,2.827095509E0,-1.879129410E1,-2.975884628E1
1.327991375E0,2.836279869E0,-1.886067963E1,-2.989771271E1
1.337929375E0,2.852200508E0,-1.887770844E1,-2.985258102E1
1.347868375E0,2.890494823E0,-1.884914017E1,-2.971432114E1
1.357807375E0,2.946007252E0,-1.885354233E1,-2.966114044E1
1.367746375E0,2.959328651E0,-1.882501602E1,-2.970772552E1
1.377685375E0,2.863304615E0,-1.887629128E1,-2.966919708E1
1.387624375E0,2.865764618E0,-1.903643799E1,-2.967930984E1
1.397563375E0,2.819264412E0,-1.900237465E1,-2.966405869E1
1.407502375E0,2.837151051E0,-1.921877289E1,-2.958076096E1
1.417441375E0,2.767205238E0,-1.926475143E1,-2.961414337E1
1.427380375E0,2.853347301E0,-1.910928345E1,-2.966987610E1
1.437319375E0,3.040730476E0,-1.911313248E1,-2.971969604E1
1.447258375E0,2.932483196E0,-1.917499542E1,-2.962088394E1
1.457197375E0,2.973414898E0,-1.915461540E1,-2.964173126E1
1.467136375E0,2.939140797E0,-1.919389725E1,-2.966235733E1
1.477075375E0,2.958913803E0,-1.917210007E1,-2.973121262E1
1.487014375E0,3.005836487E0,-1.918011093E1,-2.965767288E1
1.496953375E0,2.935378075E0,-1.917644119E1,-2.944467545E1
1.506892375E0,2.804877281E0,-1.935388184E1,-2.970240021E1
1.516831375E0,2.797568798E0,-1.925895119E1,-2.973972702E1
1.526770375E0,2.818314075E0,-1.929865265E1,-2.953971481E1
1.536709375E0,2.811250210E0,-1.924687767E1,-2.928994751E1
1.546648375E0,2.877682686E0,-1.928161240E1,-2.956734467E1
1.556587375E0,2.790246487E0,-1.931702042E1,-2.981482697E1
1.566526375E0,2.774640083E0,-1.939887238E1,-2.975265503E1
1.576465375E0,2.700816154E0,-1.937641907E1,-2.967236710E1
1.586404375E0,2.700816154E0,-1.937641907E1,-2.967236710E1
1.596343375E0,2.661368370E0,-1.934874153E1,-2.960652924E1
1.606282375E0,2.799842834E0,-1.930998230E1,-2.970736694E1
1.616220375E0,2.713611126E0,-1.932104492E1,-2.964859390E1
1.626159375E0,2.845003605E0,-1.918641281E1,-2.963780594E1
1.636098375E0,2.707252026E0,-1.917416191E1,-2.969942474E1
1.646037375E0,2.899400234E0,-1.922048569E1,-2.968704987E1
1.655976375E0,2.887357712E0,-1.923739243E1,-2.962699509E1
1.665915375E0,2.689866066E0,-1.919055939E1,-2.961743546E1
1.675854375E0,2.812614918E0,-1.914900208E1,-2.939976883E1
1.685793375E0,2.758595943E0,-1.908378410E1,-2.968731689E1
1.695732375E0,2.739782810E0,-1.903659058E1,-2.976277924E1
1.705671375E0,2.715107441E0,-1.887129593E1,-2.981760406E1
1.715610375E0,2.658012867E0,-1.873313522E1,-2.999829102E1
1.725549375E0,2.727650166E0,-1.873558807E1,-2.987865067E1
1.735488375E0,2.704896927E0,-1.857205582E1,-2.991072083E1
1.745427375E0,2.826487541E0,-1.834962463E1,-3.009154510E1
1.755366375E0,2.964457035E0,-1.802758598E1,-3.017890167E1
1.765305375E0,2.888484478E0,-1.778404617E1,-3.035589981E1
1.775244375E0,2.977550030E0,-1.767021561E1,-3.040607834E1
1.785183375E0,3.039587498E0,-1.735248566E1,-3.037359619E1
1.795122375E0,3.164155483E0,-1.733026123E1,-3.050062561E1
1.805061375E0,3.110938072E0,-1.718186378E1,-3.034264755E1
1.815000375E0,3.113824844E0,-1.707854271E1,-3.057395935E1
1.824939375E0,3.087400436E0,-1.712739182E1,-3.054760742E1
1.834878375E0,3.246959686E0,-1.715722275E1,-3.057796478E1
1.844817625E0,3.196147442E0,-1.713339043E1,-3.062553024E1
1.854756625E0,3.196147442E0,-1.713339043E1,-3.062553024E1
1.864695625E0,3.094412327E0,-1.707942963E1,-3.071796799E1
1.874634625E0,3.123421669E0,-1.698756027E1,-3.076654816E1
1.884573625E0,3.259569645E0,-1.697319221E1,-3.061080551E1
1.894512625E0,3.206635475E0,-1.685175705E1,-3.066170883E1
1.904451625E0,3.152665138E0,-1.685242081E1,-3.067641449E1
1.914389625E0,3.236694813E0,-1.674010849E1,-3.082939529E1
1.924328625E0,3.236966133E0,-1.667637825E1,-3.081967545E1
1.934267625E0,3.220265865E0,-1.664539146E1,-3.101171875E1
1.944206625E0,3.220544815E0,-1.664864540E1,-3.101889038E1
1.954145625E0,3.168653488E0,-1.655402374E1,-3.107674408E1
1.964084625E0,3.212470531E0,-1.633674049E1,-3.108469772E1
1.974023625E0,3.247231960E0,-1.624014282E1,-3.095038986E1
1.983962625E0,3.117215157E0,-1.610588074E1,-3.137440109E1
1.993901625E0,3.024670601E0,-1.596576881E1,-3.144461441E1
2.003840625E0,2.948336124E0,-1.581100082E1,-3.136865997E1
2.013779625E0,2.991069317E0,-1.570075798E1,-3.161783218E1
2.023718625E0,2.985951900E0,-1.562554359E1,-3.175255585E1
2.033657625E0,2.863251209E0,-1.542066002E1,-3.156731796E1
2.043596625E0,2.889349937E0,-1.534208870E1,-3.140243530E1
2.053535625E0,2.993056774E0,-1.515714264E1,-3.166489792E1
2.063474625E0,2.745044708E0,-1.503680420E1,-3.188442230E1
2.073413625E0,2.666543961E0,-1.498643303E1,-3.178086853E1
2.083352625E0,2.637805462E0,-1.480229759E1,-3.182962036E1
2.093291625E0,2.547417641E0,-1.459112930E1,-3.204162979E1
2.103230625E0,2.486215591E0,-1.427102089E1,-3.201050568E1
2.113169625E0,2.430874348E0,-1.397274017E1,-3.229973221E1
2.123108625E0,2.444291592E0,-1.383647537E1,-3.245123291E1
