"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.767092082E-1,1.425036621E-1,3.471281433E-1,9.879305878E0,9.886429581E0
9.866482082E-1,1.261875916E-1,3.291654968E-1,9.895322571E0,9.901599972E0
9.965872082E-1,1.386117554E-1,3.504212952E-1,9.856852570E0,9.864053471E0
1.006526208E0,1.393601990E-1,3.523672485E-1,9.812844086E0,9.820157483E0
1.016465208E0,1.481918335E-1,3.376977539E-1,9.885443115E0,9.892319555E0
1.026404208E0,1.269360352E-1,3.417393494E-1,9.922565918E0,9.929260443E0
1.036343208E0,1.170565796E-1,3.356021118E-1,9.868228912E0,9.874627734E0
1.046282208E0,1.246907043E-1,3.324586487E-1,9.839638367E0,9.846042845E0
1.056221208E0,1.306782532E-1,3.308120728E-1,9.870623932E0,9.877030436E0
1.066160208E0,1.248403931E-1,3.439846802E-1,9.862840118E0,9.869626426E0
1.076099208E0,1.160087585E-1,3.598516846E-1,9.860145721E0,9.867392002E0
1.086038208E0,1.486408997E-1,3.457809448E-1,9.873767395E0,9.880938273E0
1.095977208E0,1.219963074E-1,3.442840576E-1,9.878856812E0,9.885607038E0
1.105916208E0,1.287322998E-1,3.462300110E-1,9.865384827E0,9.872297858E0
1.115855208E0,1.260379028E-1,3.508703613E-1,9.866732025E0,9.873773160E0
1.125794208E0,1.206491089E-1,3.555107117E-1,9.869576111E0,9.876713860E0
1.135733208E0,1.242416382E-1,3.517684937E-1,9.862091675E0,9.869145316E0
1.145672208E0,1.231938171E-1,3.460803223E-1,9.862540741E0,9.869379827E0
1.155611208E0,1.425036621E-1,3.478765869E-1,9.867929535E0,9.875087783E0
1.165550208E0,1.435514832E-1,3.481759644E-1,9.877958679E0,9.885135366E0
1.175489208E0,1.363664246E-1,3.460803223E-1,9.862840118E0,9.869852207E0
1.185428208E0,1.272354126E-1,3.529660034E-1,9.860445099E0,9.867580828E0
1.195367208E0,1.151106262E-1,3.540138245E-1,9.883497162E0,9.890505164E0
1.205306208E0,1.474433899E-1,3.427871704E-1,9.896071014E0,9.903103762E0
1.215245208E0,1.209484863E-1,3.370989990E-1,9.887987823E0,9.894471561E0
1.225184208E0,1.202000427E-1,3.537144470E-1,9.866432648E0,9.873502679E0
1.235123208E0,1.172062683E-1,3.529660034E-1,9.866432648E0,9.873439902E0
1.245061208E0,1.219963074E-1,3.559597778E-1,9.872120819E0,9.879289445E0
1.255000208E0,1.184037781E-1,3.388952637E-1,9.813592529E0,9.820156200E0
1.264939208E0,1.064286804E-1,3.403921509E-1,9.791288910E0,9.797782014E0
1.274878208E0,1.466949463E-1,3.484753418E-1,9.906100159E0,9.913313010E0
1.284817208E0,1.279838562E-1,3.344046021E-1,9.901010742E0,9.907483032E0
1.294756208E0,1.243913269E-1,3.414399719E-1,9.845775604E0,9.852479470E0
1.304695208E0,1.377136230E-1,3.456312561E-1,9.834848328E0,9.841883338E0
1.314634208E0,1.104702759E-1,3.423381042E-1,9.832602997E0,9.839180898E0
1.324573208E0,1.579216003E-1,3.369493103E-1,9.876162415E0,9.883170448E0
1.334512208E0,1.631607056E-1,3.420387268E-1,9.928104401E0,9.935334363E0
1.344451208E0,1.649569702E-1,3.308120728E-1,9.895771637E0,9.902673564E0
1.354390208E0,1.399589539E-1,3.484753418E-1,9.841135254E0,9.848297653E0
1.364329208E0,1.577719116E-1,3.471281433E-1,9.806856537E0,9.814266405E0
1.374268208E0,1.672023010E-1,3.451821899E-1,9.832602997E0,9.840080744E0
1.384207208E0,2.013313293E-1,3.550616455E-1,9.852062531E0,9.860514144E0
1.394146208E0,2.124082947E-1,3.415896606E-1,9.851763153E0,9.859971501E0
1.404085208E0,1.823208618E-1,3.317102051E-1,9.849068756E0,9.856339479E0
1.414024208E0,1.740879822E-1,3.441343689E-1,9.856104126E0,9.863646569E0
1.423963208E0,1.910028076E-1,3.438349915E-1,9.843679962E0,9.851534894E0
1.433902208E0,1.802252197E-1,3.400927734E-1,9.832602997E0,9.840133430E0
1.443841208E0,1.769320679E-1,3.302133179E-1,9.834399261E0,9.841532128E0
1.453780208E0,2.067201233E-1,3.360511780E-1,9.884095917E0,9.891967231E0
1.463719208E0,1.878593445E-1,3.499722290E-1,9.907297668E0,9.915256869E0
1.473658208E0,1.821711731E-1,3.255729675E-1,9.853858795E0,9.860918682E0
1.483597208E0,1.868115234E-1,3.333567810E-1,9.848470001E0,9.855880816E0
1.493535208E0,1.782792664E-1,3.236270142E-1,9.844278717E0,9.851210149E0
1.503474208E0,1.974394226E-1,3.414399719E-1,9.809251556E0,9.817177786E0
1.513413208E0,1.769320679E-1,3.535647583E-1,9.838440857E0,9.846381645E0
1.523352208E0,1.923500061E-1,3.540138245E-1,9.847122803E0,9.855361577E0
1.533291208E0,1.932481384E-1,3.489244080E-1,9.829010468E0,9.837100175E0
1.543230208E0,1.986369324E-1,3.231779480E-1,9.881401520E0,9.888680226E0
1.553169208E0,2.278262329E-1,3.327580261E-1,9.885592804E0,9.893815128E0
1.563108208E0,1.261875916E-1,3.254232788E-1,9.847871246E0,9.854054582E0
1.573047208E0,-5.822891235E-2,3.209326172E-1,9.829609222E0,9.835019360E0
1.582986208E0,-2.121089172E-1,3.005749512E-1,9.929750977E0,9.936563287E0
1.592925208E0,-3.787124634E-1,2.763253784E-1,9.971963196E0,9.982976952E0
1.602864208E0,-5.739065552E-1,2.763253784E-1,9.940678253E0,9.961064631E0
1.612803208E0,-8.327183533E-1,2.929408264E-1,9.893226929E0,9.932531059E0
1.622742208E0,-1.175056458E0,2.736309814E-1,9.892628174E0,9.965928144E0
1.632681208E0,-1.402583313E0,2.418969727E-1,9.980345764E0,1.008132212E1
1.642620208E0,-1.734293518E0,2.251318359E-1,1.002046234E1,1.017192823E1
1.652559208E0,-2.226320343E0,1.502874756E-1,9.933493195E0,1.018103019E1
1.662498208E0,-2.511177979E0,6.631210327E-2,9.971514130E0,1.028306891E1
1.672437208E0,-2.330952759E0,1.631607056E-2,1.007075775E1,1.033700966E1
1.682376208E0,-2.169738007E0,4.939727783E-2,1.007958939E1,1.031059287E1
1.692315208E0,-2.215842133E0,9.879455566E-2,1.006237518E1,1.030393668E1
1.702254208E0,-2.072889404E0,1.489402771E-1,9.970017242E0,1.018431625E1
1.712193208E0,-2.010469208E0,1.528321838E-1,9.959988098E0,1.016202278E1
1.722129583E0,-2.095492401E0,1.344204712E-1,9.856553192E0,1.007773775E1
1.732068583E0,-2.272873535E0,1.196012878E-1,9.882149963E0,1.014086517E1
1.742006583E0,-2.047292633E0,1.794767761E-1,9.976753235E0,1.018622718E1
1.751945583E0,-1.808988190E0,2.324665833E-1,9.978998566E0,1.014430339E1
1.761884583E0,-1.594783630E0,3.537144470E-1,9.969268799E0,1.010221605E1
1.771823583E0,-1.359472961E0,4.327500916E-1,1.001821701E1,1.011929402E1
1.781762583E0,-1.314566345E0,4.643344116E-1,1.001492386E1,1.011149796E1
1.791701583E0,-1.440903625E0,4.381388855E-1,9.987530823E0,1.010044261E1
1.801640583E0,-1.488804016E0,3.676354980E-1,9.922416229E0,1.004022097E1
1.811579583E0,-1.427281952E0,2.630030823E-1,9.837991791E0,9.944465137E0
1.821518583E0,-1.233584747E0,1.246907043E-1,9.848619690E0,9.926358290E0
1.831457583E0,-9.222322083E-1,1.026864624E-1,9.906549225E0,9.949913281E0
1.841396583E0,-7.631130981E-1,1.329235840E-1,9.910740509E0,9.940965130E0
1.851335583E0,-7.306306458E-1,2.025288391E-1,9.897118835E0,9.926117081E0
1.861274583E0,-6.629713440E-1,2.585124207E-1,1.000803818E1,1.003330393E1
1.871213583E0,-5.957611084E-1,2.368075562E-1,9.894274750E0,9.915023043E0
1.881152583E0,-3.580554199E-1,1.692979431E-1,9.650731201E0,9.658854911E0
1.891091583E0,-5.403762817E-2,1.704954529E-1,9.714199219E0,9.715845574E0
1.901030583E0,2.335144043E-1,2.613565063E-1,9.864486694E0,9.870710914E0
1.910969583E0,2.727328491E-1,3.987707520E-1,9.900561676E0,9.912341944E0
1.920908583E0,1.462458801E-1,4.453239441E-1,9.747430115E0,9.758693310E0
1.930847583E0,1.435514832E-1,4.587959290E-1,9.789193268E0,9.800990030E0
1.940786583E0,5.837860107E-2,5.319937134E-1,1.004531067E1,1.005955724E1
1.950725583E0,-1.348695374E-1,5.821394348E-1,1.004755600E1,1.006530962E1
1.960664583E0,-1.199006653E-1,5.831872559E-1,9.978250122E0,9.995997151E0
1.970602583E0,-2.035766602E-2,5.204676819E-1,1.009186386E1,1.010529649E1
1.980541583E0,-8.442443848E-2,4.246669006E-1,1.005653732E1,1.006585378E1
1.990480583E0,-1.351689148E-1,2.866539001E-1,1.000324814E1,1.000826730E1
