"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.255335833E-1,-4.216731262E-1,5.520520020E-1,9.803413696E0,9.827995204E0
8.354735833E-1,-3.748205566E-1,4.707710266E-1,9.839788055E0,9.858171473E0
8.454125833E-1,-4.074526978E-1,4.326004028E-1,9.921368408E0,9.939150462E0
8.553515833E-1,-4.153862000E-1,4.255650330E-1,9.990374908E0,1.000805886E1
8.652905833E-1,-3.885919189E-1,4.549040222E-1,9.975705414E0,9.993629964E0
8.752295834E-1,-4.074526978E-1,4.210743713E-1,9.979896698E0,9.997082546E0
8.851695834E-1,-3.947291565E-1,4.032614136E-1,9.983788605E0,9.999723285E0
8.951085834E-1,-3.513194275E-1,4.381388855E-1,9.984986115E0,1.000076691E1
9.050475834E-1,-3.535647583E-1,4.405339050E-1,9.965077515E0,9.981074493E0
9.149865834E-1,-3.650907898E-1,4.489164734E-1,9.973160706E0,9.989932519E0
9.249265834E-1,-3.344046021E-1,5.345384216E-1,9.981692963E0,1.000158748E1
9.348655834E-1,-3.999682617E-1,5.780978394E-1,9.930948486E0,9.955797786E0
9.448045834E-1,-3.820056152E-1,5.761518860E-1,9.892628174E0,9.916752063E0
9.547435835E-1,-3.243754578E-1,5.614823914E-1,9.838291168E0,9.859637672E0
9.646825835E-1,-3.079096985E-1,5.728587341E-1,9.787696381E0,9.809280093E0
9.746225835E-1,-3.302133179E-1,5.641767883E-1,9.830357666E0,9.852069231E0
9.845615833E-1,-2.796185303E-1,5.761518860E-1,9.883048096E0,9.903775905E0
9.945005833E-1,-2.827619934E-1,5.872288513E-1,9.873168640E0,9.894657703E0
1.004439583E0,-2.945874023E-1,6.378236389E-1,9.886341248E0,9.911273581E0
1.014378583E0,-2.811154175E-1,6.514453125E-1,9.886790314E0,9.912216179E0
1.024318583E0,-2.646496582E-1,6.126759338E-1,9.925260315E0,9.947673274E0
1.034257583E0,-3.423381042E-1,5.677693176E-1,9.982291718E0,1.000428435E1
1.044196583E0,-3.632945251E-1,5.944139099E-1,9.985884247E0,1.001015459E1
1.054135583E0,-3.779640198E-1,6.518943787E-1,1.002255798E1,1.005084532E1
1.064075583E0,-3.623963928E-1,6.867718506E-1,1.008737320E1,1.011721725E1
1.074014583E0,-4.418811035E-1,6.965016174E-1,9.987979889E0,1.002198162E1
1.083953583E0,-4.306544495E-1,6.644682312E-1,9.851014709E0,9.882786656E0
1.093892583E0,-3.369493103E-1,6.382727051E-1,9.761949921E0,9.788595054E0
1.103831583E0,-2.739303589E-1,6.438111877E-1,9.697284393E0,9.722492237E0
1.113771583E0,-2.577639771E-1,6.435118103E-1,9.665550385E0,9.690377390E0
1.123710583E0,-3.047662354E-1,6.125262451E-1,9.677675171E0,9.701828053E0
1.133649583E0,-3.921844482E-1,5.843847656E-1,9.746232605E0,9.771610112E0
1.143588583E0,-3.733236694E-1,6.122268677E-1,9.737700348E0,9.764066794E0
1.153527583E0,-3.668870544E-1,6.093827820E-1,9.674831085E0,9.700943769E0
1.163467583E0,-3.918850708E-1,5.947132874E-1,9.697134705E0,9.723254562E0
1.173406583E0,-3.165916443E-1,6.036946106E-1,9.656269684E0,9.680300701E0
1.183345583E0,-2.821632385E-1,6.194119263E-1,9.591753845E0,9.615873806E0
1.193284583E0,-3.167413330E-1,6.023474121E-1,9.609117737E0,9.633186968E0
1.203224583E0,-3.179388428E-1,6.152206421E-1,9.676627350E0,9.701376109E0
1.213163583E0,-3.236270142E-1,6.303392029E-1,9.785151672E0,9.810772406E0
1.223102583E0,-3.555107117E-1,6.271957397E-1,9.855505371E0,9.881839327E0
1.233041583E0,-3.623963928E-1,6.110293579E-1,9.961634674E0,9.986934134E0
1.242980583E0,-3.191363525E-1,5.785469055E-1,1.002151016E1,1.004326792E1
1.252920583E0,-2.171983337E-1,5.152285767E-1,1.003079086E1,1.004636257E1
1.262859583E0,-2.026785278E-1,4.532574463E-1,9.961185608E0,9.973552006E0
1.272798583E0,-2.409988403E-1,4.402345276E-1,9.912686462E0,9.925383609E0
1.282737583E0,-2.656974792E-1,5.008584595E-1,9.834399261E0,9.850729069E0
1.292676583E0,-3.275189209E-1,5.083428955E-1,9.814939728E0,9.833550885E0
1.302616583E0,-3.442840576E-1,5.789959717E-1,9.779912567E0,9.803084090E0
1.312555583E0,-4.089495850E-1,6.599775696E-1,9.766590271E0,9.797402496E0
1.322494583E0,-4.592449951E-1,7.295828247E-1,9.752369843E0,9.790399104E0
1.332433583E0,-4.819976807E-1,7.517367554E-1,9.702373810E0,9.743381726E0
1.342373583E0,-3.897894287E-1,7.484436035E-1,9.665101318E0,9.701870290E0
1.352312583E0,-3.239263916E-1,7.699987793E-1,9.732760620E0,9.768544196E0
1.362251583E0,-2.911445618E-1,7.951464844E-1,9.767638092E0,9.804273404E0
1.372190583E0,-2.731819153E-1,7.598199463E-1,9.770182800E0,9.803490535E0
1.382129583E0,-2.543211365E-1,7.572752380E-1,9.845476227E0,9.877831096E0
1.392069583E0,-2.267784119E-1,7.411088562E-1,9.923913116E0,9.954130918E0
1.402008583E0,-2.170486450E-1,6.879693604E-1,9.985135803E0,1.001116122E1
1.411947583E0,-2.020797729E-1,6.351292419E-1,9.985285492E0,1.000750477E1
1.421886583E0,-2.242337036E-1,6.081852722E-1,1.000474503E1,1.002572158E1
1.431825583E0,-1.848655701E-1,6.180647278E-1,1.000624191E1,1.002701633E1
1.441765583E0,-1.374142456E-1,6.298901367E-1,9.942175140E0,9.963056297E0
1.451704583E0,-1.694476318E-1,6.429130554E-1,9.942025452E0,9.964232021E0
1.461643583E0,-1.448986816E-1,6.453080750E-1,9.877659302E0,9.899776332E0
1.471582583E0,-1.207987976E-1,6.312373352E-1,9.818831635E0,9.839842864E0
1.481521583E0,-1.365161133E-1,6.119274902E-1,9.835746460E0,9.855709022E0
1.491461583E0,-1.875599670E-1,6.129753113E-1,9.876162415E0,9.896944049E0
1.501400583E0,-2.418969727E-1,6.164181519E-1,9.950408020E0,9.972417222E0
1.511339583E0,-3.008743286E-1,6.038442993E-1,9.984237671E0,1.000700530E1
1.521278583E0,-3.305126953E-1,6.213578796E-1,1.004411316E1,1.006874041E1
1.531217583E0,-2.974314880E-1,6.367758179E-1,1.006896149E1,1.009345998E1
1.541157583E0,-2.941383362E-1,6.143225098E-1,1.001477417E1,1.003790871E1
1.551096583E0,-3.092568970E-1,6.021977234E-1,9.873617706E0,9.896797893E0
1.561035583E0,-3.005749512E-1,6.195616150E-1,9.726324005E0,9.750670774E0
1.570974583E0,-2.793191528E-1,6.001020813E-1,9.675878906E0,9.698493404E0
1.580914583E0,-2.546205139E-1,5.637277222E-1,9.647438049E0,9.667247874E0
1.590853583E0,-2.001338196E-1,5.637277222E-1,9.532926178E0,9.551676502E0
1.600792583E0,-1.962419128E-1,5.528004456E-1,9.440119171E0,9.458326976E0
1.610731583E0,-2.541714478E-1,5.812413025E-1,9.518106995E0,9.539224567E0
1.620670583E0,-2.974314880E-1,6.122268677E-1,9.693841553E0,9.717708129E0
1.630610583E0,-3.204835510E-1,6.298901367E-1,9.798024902E0,9.823480202E0
1.640549583E0,-2.953358459E-1,5.789959717E-1,9.902208252E0,9.923516910E0
1.650488583E0,-2.615061951E-1,5.565426636E-1,1.000684067E1,1.002571620E1
1.660427583E0,-2.195933533E-1,5.508544922E-1,1.005533981E1,1.007281096E1
1.670366583E0,-2.339634705E-1,5.309458923E-1,1.008108627E1,1.009776920E1
1.680306583E0,-1.681004333E-1,5.382806396E-1,1.002165985E1,1.003751314E1
1.690245583E0,-1.088237000E-1,5.535488892E-1,9.968969421E0,9.984919143E0
1.700184583E0,-1.442999268E-1,5.804928589E-1,9.912836151E0,9.930866779E0
1.710123583E0,-1.875599670E-1,6.099815369E-1,9.832153931E0,9.852842591E0
1.720063583E0,-1.636097717E-1,6.732998657E-1,9.754315796E0,9.778894493E0
1.730002583E0,-1.838177490E-1,6.942562866E-1,9.735604706E0,9.762058172E0
1.739941583E0,-2.284249878E-1,6.987469482E-1,9.760902100E0,9.788546116E0
1.749880583E0,-2.155517578E-1,6.800358582E-1,9.835447083E0,9.861284432E0
1.759819583E0,-1.860630798E-1,6.662644958E-1,9.891430664E0,9.915590171E0
1.769759583E0,-1.475930786E-1,6.270460510E-1,9.922565918E0,9.943454373E0
1.779698583E0,-1.700463867E-1,6.092330933E-1,9.981543274E0,1.000156422E1
1.789637583E0,-1.610650635E-1,6.007008362E-1,1.001836670E1,1.003765186E1
1.799576583E0,-1.196012878E-1,6.147715759E-1,1.002540207E1,1.004494575E1
1.809515583E0,-9.595046997E-2,5.885760498E-1,9.970316620E0,9.988135049E0
1.819455583E0,-7.604187012E-2,5.839356995E-1,9.883347473E0,9.900874736E0
1.829393583E0,-5.074447632E-2,6.126759338E-1,9.829758911E0,9.848964771E0
1.839332583E0,-7.933502197E-2,6.089337158E-1,9.770482178E0,9.789760789E0
1.849271583E0,-3.697311401E-2,5.915698242E-1,9.728569336E0,9.746608805E0
1.859210583E0,-1.017883301E-2,5.944139099E-1,9.717192993E0,9.735361892E0
1.869150583E0,-8.232879639E-3,5.947132874E-1,9.755812683E0,9.773926170E0
1.879089583E0,1.511856079E-2,6.453080750E-1,9.882000275E0,9.903059149E0
1.889028583E0,-4.221221924E-2,6.542893982E-1,9.952653351E0,9.974226046E0
1.898967583E0,-1.297801208E-1,6.185137939E-1,9.948312378E0,9.968366033E0
1.908906583E0,-1.432521057E-1,5.544470215E-1,9.842033386E0,9.858679112E0
1.918846583E0,-6.586303711E-2,5.102888489E-1,9.742939453E0,9.756515866E0
1.928785583E0,-4.790039062E-3,4.572990417E-1,9.678872681E0,9.689670878E0
1.938724583E0,3.562591553E-2,4.513114929E-1,9.624835052E0,9.635476172E0
1.948663583E0,1.242416382E-1,5.050497437E-1,9.587113495E0,9.601211194E0
1.958602583E0,1.182540894E-1,5.484594727E-1,9.663903809E0,9.680177098E0
1.968542583E0,7.858657837E-2,5.920188904E-1,9.632918243E0,9.651413166E0
1.978481583E0,-2.814147949E-2,4.870870972E-1,9.586963806E0,9.599370855E0
1.988420583E0,-1.411564636E-1,6.848258972E-1,9.317673798E0,9.343872680E0
1.998359583E0,9.235794067E-2,8.514294434E-1,9.317973175E0,9.357247789E0
2.008299583E0,5.643264771E-2,7.421566772E-1,9.437424774E0,9.466729506E0
2.018238583E0,1.023870850E-1,6.474037170E-1,9.424401855E0,9.447167037E0
2.028177583E0,2.763253784E-1,6.469546509E-1,9.456285553E0,9.482417545E0
2.038116583E0,4.728666687E-1,7.027885437E-1,9.628277893E0,9.665466870E0
